ID,Generator,Status,Result Status,Proxy Role,Keep SR,Has SR,Optimal,Rating,CPOR,PERMI_37,PERMI_38,PERMJ_37,PERMJ_38,PERMK_37,PERMK_38,POR_38,PRPOR,POR_37,GAS_MASS_INJ,GAS_MASS_PRD,WBP_INJ,WBP_PRD,WBT_INJ,WBT_PRD,Execution Node,Derived Case Name,MCMC Count,Comment
151,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,4.69E-06,423.90057,694.26386,841.4914,1253.7285,239.19694,1028.8719,0.10630975,1803.0593,0.18374761,0,0,22650.502,22564.049,25,89.20546,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00151,0,
152,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.60E-06,539.00574,1130.5927,726.38623,332.88719,303.44168,903.05927,0.25315488,10598.47,0.24110899,0,0,22793.289,22709.225,25,90.127991,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00152,0,
153,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.01E-06,983.3652,464.05354,935.18164,182.98279,739.77055,1400.956,0.19521989,6277.2467,0.15162524,0,0,23148.676,23062.156,25,88.845253,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00153,0,
154,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.23E-06,1245.6979,1122.5621,129.44551,509.56023,1443.7859,702.29446,0.36386233,3829.8279,0.36959847,0,0,21352.023,21277.031,25,93.151741,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00154,0,
155,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.95E-06,1184.13,1288.5277,456.02294,1368.8337,621.98853,830.78394,0.10573614,8361.3767,0.18718929,0,0,22202.475,22115.336,25,91.890358,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00155,0,
156,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.83E-06,450.66922,1462.5239,1210.8987,215.10516,525.62141,795.9847,0.14072658,1210.325,0.39196941,0,0,22489.549,22406.461,25,89.009895,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00156,0,
157,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.01E-06,1079.7323,1360.8031,806.69216,927.15105,228.48948,474.76099,0.28986616,1038.2409,0.32600382,0,0,22457.281,22371.221,25,90.60537,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00157,0,
158,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,4.34E-06,795.9847,603.25048,1382.218,1069.0249,431.93117,1411.6635,0.28240918,3791.587,0.12237094,0,0,22800.676,22714.951,25,87.901985,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00158,0,
159,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.41E-06,1138.6233,779.92352,870.9369,252.58126,1347.4187,1497.3231,0.29445507,9451.2428,0.11778203,0,0,22742.355,22656.303,25,89.681549,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00159,0,
160,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,4.63E-06,1234.9904,1280.4971,150.86042,630.01912,1430.4015,284.70363,0.35755258,10445.507,0.32370937,0,0,21658.367,21582.006,25,92.932137,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00160,0,
161,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,5.66E-06,579.1587,365.00956,905.73614,1470.5545,255.25813,852.19885,0.36328872,9871.8929,0.32772467,0,0,22582.732,22498.158,25,87.693031,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00161,0,
162,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.53E-06,1213.5755,496.17591,825.43021,522.94455,991.39579,169.59847,0.35124283,3868.0688,0.23824092,0,0,22631.389,22546.299,25,89.525848,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00162,0,
163,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,4.20E-06,994.07266,223.13576,330.21033,1331.3576,201.72084,512.23709,0.2250478,8112.8107,0.12982792,0,0,22741.881,22657.385,25,87.08075,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00163,0,
164,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.50E-06,731.73996,911.08987,100,1387.5717,292.73423,873.61377,0.14933078,9413.0019,0.34493308,0,0,22003.98,21924.914,25,88.971756,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00164,0,
165,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.44E-06,544.35946,434.60803,287.3805,121.41491,110.70746,458.69981,0.27667304,6640.5354,0.33804971,0,0,22818.148,22753.602,25,91.998947,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00165,0,
166,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.80E-06,1074.3786,656.78776,247.22753,1425.0478,1486.6157,311.47228,0.15736138,6831.74,0.32829828,0,0,22254.014,22174.529,25,88.67868,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00166,0,
167,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,6.31E-06,991.39579,822.75335,573.80497,322.17973,790.63098,220.45889,0.34780115,5588.9101,0.30305927,0,0,22603.615,22527.729,25,90.841713,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00167,0,
168,LatinHyperCube,Complete,AbnormalTermination,Training,Auto,FALSE,FALSE,0,8.54E-06,638.04971,1419.6941,1422.3709,1111.8547,530.97514,247.22753,0.17112811,10407.266,0.26347992,,,,,,,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00168,0,
169,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.18E-06,177.62906,1060.9943,182.98279,1422.3709,140.15296,1392.9254,0.24282983,6908.2218,0.25544933,0,0,22253.672,22174.08,25,88.845062,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00169,0,
170,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,3.43E-06,1149.3308,327.53346,447.99235,303.44168,605.92734,937.85851,0.10172084,6219.8853,0.32026769,0,0,22999.627,22929.033,25,91.403542,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00170,0,
171,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,6.52E-06,1052.9637,1052.9637,675.52581,975.33461,1125.239,785.27725,0.20611855,3543.021,0.22217973,0,0,22534.125,22447.146,25,90.941299,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00171,0,
172,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,8.92E-06,340.91778,659.46463,1095.7935,801.33843,565.77438,889.67495,0.38164436,9393.8815,0.28986616,0,0,22490.225,22402.863,25,87.723686,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00172,0,
173,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.63E-06,943.21224,584.51243,1042.2562,378.39388,1066.348,886.99809,0.17743786,10866.157,0.13040153,0,0,22826.572,22740.564,25,88.747078,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00173,0,
174,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.12E-06,1366.1568,1350.0956,1036.9025,1285.8509,704.97132,225.81262,0.29330784,10579.35,0.38164436,0,0,22444.508,22358.578,25,89.865067,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00174,0,
175,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,6.48E-06,1467.8776,1023.5182,501.52964,988.71893,1122.5621,1090.4398,0.36443595,7653.9197,0.1499044,0,0,22388.52,22300.49,25,92.103523,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00175,0,
176,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,7.07E-06,306.11855,595.21989,116.06119,1210.8987,485.46845,547.03633,0.1585086,3179.7323,0.36156788,0,0,22254.359,22176.676,25,87.56501,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00176,0,
177,LatinHyperCube,Complete,NormalTermination,Training,Auto,FALSE,TRUE,0,9.79E-06,1277.8203,884.32122,630.01912,664.81836,865.58317,145.50669,0.32198853,2338.4321,0.28470363,0,0,22486.109,22403.391,25,91.03418,DESKTOP-SDN3ES6,KYS_AI.cmsd\KYS_AI_00177,0,
